property_type,place_with_parent_names,lat-lon,area_m2,price_usd
,Mexico|Chihuahua|Ciudad Juarez,"28.664141737018728,-105.74146327048558",276.4,379012.34
Condo,Mexico|Coahuila|Monclova,"27.318056223582502,-102.46458329792424",85.0,96597.27
Apartamento,Mexico|Sonora|Hermosillo,"29.25953190503138,-110.23471507383238",66.0,"$63,769.94"
,Mexico|Quintana Roo|Tulum,"18.642116802638963,-88.59336473637244",433.6,"$202,885.40"
Terreno,Mexico|Oaxaca|Huatulco,"17.045613769491528,-97.33803636871849",309.1,489085.59
villa,Mexico|Sonora|Hermosillo,"28.72070480798867,-110.6834725261133",341.9,585481.94
,Mexico|Quintana Roo|Cancun,"18.900315901318145,-88.76459718675947",367.5,504405.51
HOUSE,Mexico|Yucatan|Progreso,"20.424040759492563,-89.57491007629426",314.1,144679.23
,Mexico|Nuevo Leon|Monterrey,"25.546065560337546,-99.26714715064723",297.2,203566.86
Apartment,Mexico|Yucatan|Progreso,"20.18688962304843,-88.8067181823216",179.5,
Condo,Mexico|Guanajuato|Leon,"21.486549578536096,-101.33621687258683",249.0,180159.02
Villa,Mexico|Michoacan|Patzcuaro,"19.46791875181097,-101.16687038394517",130.8,190804.94
HOUSE,Mexico|Jalisco|Tlaquepaque,"20.810112747427365,-103.82257845318374",94.9,126974.65
House,Mexico|Veracruz|Coatzacoalcos,"19.491456403240154,-96.29842661365743",3365.5,
HOUSE,Mexico|Guanajuato|San Miguel de Allende,"20.820353714080742,-101.16265964612595",170.7,81088.06
Terreno,Mexico|Nuevo Leon|Guadalupe,"25.57170375791733,-99.8429403018481",290.1,297596.89
townhouse,Mexico|Nuevo Leon|Apodaca,"26.243755363570898,-99.40217030368146",61.7,64626.21
condo,Mexico|Sonora|Ciudad Obregon,"29.294797200919113,-110.59202959017026",221.4,10909884.15
House,Mexico|Oaxaca|Oaxaca de Juarez,"17.536916913942683,-96.89900776536545",52.5,68161.99
House,Mexico|Oaxaca|Huatulco,"999.99,-999.99",138.8,182036.35
apartment,Mexico|Veracruz|Coatzacoalcos,"18.376364280320278,-96.91044961852074",290.6,6038429.95
Departamento,Mexico|Oaxaca|Puerto Escondido,"17.68112252295372,-97.24991488989701",89.4,"$110,108.69"
condo,Mexico|Michoacan|Uruapan,"19.758046947862695,-101.62295183403751",153.2,208999.32
apartment,Mexico|Nuevo Leon|Monterrey,"25.394405852681963,-99.9201794164611",249.6,341495.16
land,Mexico|Jalisco|Guadalajara,"20.385504022831263,-104.11318141010733",177.0,163583.63
condo,Mexico|Chihuahua|Chihuahua,"28.7188871569425,-106.47200396445139",155.2,
villa,Mexico|Baja California|Mexicali,"30.53765026275812,-114.68503175754688",125.7,164848.65
Villa,Mexico|Chihuahua|Chihuahua,"28.66820830853541,-106.5314671039509",299.2,236425.76
Terreno,Mexico|Quintana Roo|Cozumel,"19.05156815284741,-88.71085828659325",369.8,111688.28
,Mexico|Jalisco|Tlaquepaque,"20.02819503746825,-103.87132109564864",137.4,199093.82
Townhouse,Mexico|Puebla|Cholula,"18.52748371293858,-98.60880989039845",139.2,184643.64
Condo,Mexico|Veracruz|Xalapa,"18.409030774887572,-95.59889169807961",,94671.66
,Mexico|Puebla|Atlixco,"18.399679018578553,-98.30937517453302",179.7,57165.02
Casa,Mexico|Yucatan|Merida,"21.492427849493218,-89.05823987755043",43.7,45640.15
house,Mexico|Sonora|Hermosillo,"29.184830249981744,-110.22790597972936",330.9,492315.42
Land,Mexico|Veracruz|Veracruz,"19.871449813811164,-96.22755388433609",,127998.67
,Mexico|Distrito Federal|Cuauhtemoc,"18.649460906354932,-98.54857800315332",385.2,535183.27
Terreno,Mexico|Chiapas|San Cristobal de las Casas,"17.134007754105617,-93.28171221849553",176.7,214541.55
Casa,Mexico|Jalisco|Puerto Vallarta,"20.025236944018015,-103.40707016717376",163.1,255576.7
Condo,Mexico|Veracruz|Xalapa,"19.587508058761497,-96.55577165545017",74.7,24237.04
,Mexico|Sonora|Ciudad Obregon,"29.44273810384955,-109.78853042902239",255.8,"$147,722.41"
Departamento,Mexico|MICHOACAN|uruapan,"999.99,-999.99",273.2,365493.2
apartment,Mexico|Oaxaca|Puerto Escondido,"17.663470098970777,-97.01596675513419",291.8,8297475.73
,Mexico|Guanajuato|Leon,"20.290468205537067,-101.70512915654585",214.0,375669.26
house,Mexico|Chihuahua|Ciudad Juarez,"28.071412072127757,-106.14441516313188",160.6,92015.11
townhouse,Mexico|Jalisco|Guadalajara,"20.910685305014958,-103.01918025367642",318.3,228977.14
condo,Mexico|Oaxaca|Oaxaca de Juarez,"16.349610166530486,-96.70846217272334",156.2,60333.8
townhouse,Mexico|Baja California|Mexicali,"31.3244753254904,-115.19823404644919",382.6,662236.28
,Mexico|Chiapas|San Cristobal de las Casas,"16.880313622110794,-92.40182938111464",294.2,165470.27
condo,Mexico|Sonora|Ciudad Obregon,"999.99,-999.99",308.0,136856.03
condo,Mexico|Nuevo Leon|Apodaca,"25.807371512576463,-100.21397115522905",142.1,142199.03
House,Mexico|Michoacan|Morelia,"19.28820036579274,-102.34285025683664",292.9,282179.09
land,Mexico|Oaxaca|Huatulco,"16.344119521843844,-97.41138736319432",64.1,22995.0
House,Mexico|Michoacan|Patzcuaro,"19.97891981101011,-101.12443539401639",150.9,240219.79
Departamento,Mexico|Yucatan|Valladolid,"21.094065877102828,-88.31274717967709",391.9,361411.21
land,Mexico|Chihuahua|Chihuahua,"29.139452959068922,-106.14971148739588",260.6,173471.72
,Mexico|MICHOACAN|patzcuaro,"19.727004212353048,-101.30108918946836",184.9,230243.72
Apartamento,Mexico|Sonora|Ciudad Obregon,"29.88292266441581,-110.77710497368105",77.0,127353.12
Terreno,Mexico|Baja California|Ensenada,"30.613574290884916,-115.66754980480394",158.5,149342.99
Apartment,Mexico|Sonora|Hermosillo,"28.915528769057694,-110.74523810399143",151.8,196172.9
villa,Mexico|Nuevo Leon|Apodaca,"25.599997132175346,-99.89483736463953",4372.2,5233484.78
Terreno,Mexico|Coahuila|Torreon,"27.08700402293288,-101.24513618375727",208.4,"$195,517.81"
,,"21.017100362136713,-100.57573974718032",114.7,191984.43
house,Mexico|Yucatan|Valladolid,"20.237801862428483,-88.7388241025338",409.2,695151.99
Villa,Mexico|Puebla|Cholula,"18.82041235343569,-97.57391995062684",350.3,205681.74
Townhouse,Mexico|Veracruz|Veracruz,"19.35025056983428,-95.84876400588374",292.5,251694.68
Apartamento,Mexico|Chihuahua|Delicias,"28.013730850829862,-106.05178709654294",158.7,278938.57
villa,,"17.552147774415293,-97.17769144206432",,226263.29
Casa,Mexico|Oaxaca|Oaxaca de Juarez,"17.581385728050805,-96.39834522032767",186.0,206611.3
House,Mexico|Quintana Roo|Playa del Carmen,"18.778353625273063,-87.93371378597907",311.9,143652.37
Condo,Mexico|Distrito Federal|Iztapalapa,"18.7373972706046,-98.87896793187328",304.1,155121.3
villa,,"29.5599061130628,-110.63308929623537",263.5,288273.49
Condo,Mexico|Jalisco|Puerto Vallarta,"20.888911528452258,-103.94737224680034",218.4,389750.32
house,Mexico|Coahuila|Monclova,"26.989588412150958,-102.40144345955626",327.9,441139.59
Departamento,Mexico|Puebla|Puebla de Zaragoza,"18.90374507122258,-98.23564764547612",320.2,306221.0
,Mexico|QUINTANA ROO|cozumel,"19.46742976616525,-89.01946080759765",121.4,192327.23
Townhouse,Mexico|Quintana Roo,"18.832802396694422,-87.98486505266862",433.2,459845.75
Villa,Mexico|Nuevo Leon|Apodaca,"24.905490294556007,-100.40222251186664",315.3,257791.64
townhouse,Mexico|Jalisco|Zapopan,"20.932194853801455,-103.72768210334559",306.6,314612.44
Terreno,Mexico|Distrito Federal|Iztapalapa,"19.560761284216,-98.90611042986592",-427.1,278983.0
Apartamento,Mexico|Guanajuato|Leon,"20.611275734075313,-100.79799027894913",168.8,79077.65
apartment,Mexico|JALISCO|puerto vallarta,"19.97897489179719,-102.67534969704143",428.6,735648.2
villa,,"28.23868417666841,-105.96944350043776",420.8,638123.74
apartment,Mexico|Baja California|Tijuana,"30.39261307948322,-115.2872883469388",254.8,446805.53
Departamento,Mexico|Sonora|Ciudad Obregon,"28.832740414431413,-110.19605023653271",,226887.91
Condo,Mexico|Michoacan|Uruapan,"19.102530688374173,-101.97483080075908",447.0,186479.08
house,Mexico|Jalisco|Zapopan,"20.82425256952071,-103.48865756515134",284.6,"$306,108.88"
land,Mexico|PUEBLA|atlixco,"18.26110577130387,-98.99647459547688",338.5,524647.63
land,Mexico|Sonora|Hermosillo,"29.132144360927683,-109.80204131035269",145.8,169344.62
,Mexico|Nuevo Leon|Apodaca,"25.401898418732852,-100.57889421430347",408.5,514975.73
Terreno,Mexico|Distrito Federal|Iztapalapa,"18.750460366139006,-99.2162532139745",188.1,149311.63
Departamento,Mexico|Baja California|Rosarito,"30.328606797903436,-115.26949211771883",265.8,
,Mexico|Chiapas|Tuxtla Gutierrez,"16.264142005737575,-93.2613319990178",398.1,205088.04
Townhouse,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.29318511437083,-99.7558938271611",308.2,362845.56
Casa,Mexico|Baja California|Mexicali,"30.058663317310284,-115.62676925294777",155.4,7459318.18
apartment,Mexico|Yucatan|Valladolid,"21.407799033976257,-89.42962215320773",211.9,163065.31
house,Mexico|Michoacan|Morelia,"19.63210232790592,-101.00581709775379",158.2,
apartment,Mexico|Distrito Federal|Coyoacan,"20.125693715912846,-98.34291136749134",106.1,91101.23
house,Mexico|Chihuahua,"28.15155670565406,-106.70340350345815",178.0,119678.93
Condo,Mexico|Michoacan|Patzcuaro,"19.883031967289103,-102.32521638707166",346.9,443336.06
Departamento,Mexico|Distrito Federal|Coyoacan,"19.000589760834238,-98.74677887627215",4156.2,3257338.37
Villa,Mexico|Jalisco|Guadalajara,"20.03092426190046,-103.5427628931411",375.8,644275.1
Terreno,Mexico|Distrito Federal|Tlalpan,"19.764562070281336,-99.42099413948151",329.0,109617.56
,Mexico|Veracruz|Xalapa,"19.791539428900904,-95.89979412679394",6999.9,"$6,705,060.65"
villa,Mexico|Distrito Federal|Cuauhtemoc,"19.272495497728784,-98.6579007455544",382.7,520987.98
house,Mexico|Baja California|Mexicali,"30.367986187201957,-115.19973178586814",311.7,446158.8
Townhouse,Mexico|Coahuila|Torreon,"26.808094385487664,-101.42935114027821",150.5,"$159,635.78"
Apartment,Mexico|Veracruz|Coatzacoalcos,"18.771849371678236,-96.17906977412513",433.0,255070.37
condo,Mexico|Oaxaca|Huatulco,"17.50170746927672,-95.9421090442558",447.8,289127.4
townhouse,Mexico|Michoacan|Patzcuaro,"19.646738447442115,-101.34426873290064",200.1,84773.32
Casa,Mexico|Chihuahua|Ciudad Juarez,"28.6020934561242,-105.3160261298157",219.9,"$384,813.80"
condo,Mexico|SONORA|hermosillo,"29.809329971512646,-109.63652749410788",137.2,195077.9
townhouse,Mexico|Veracruz|Veracruz,"19.017949718479734,-96.79638570253769",-71.3,244031.04
HOUSE,Mexico|Coahuila|Monclova,"27.81964554464159,-101.98202016441677",196.9,148692.58
condo,Mexico|Michoacan|Patzcuaro,"19.62232338318852,-102.33505818442187",239.1,267611.59
condo,Mexico|Puebla|Cholula,"19.17785272566725,-97.99839861164253",388.8,"$634,100.21"
house,Mexico|Nuevo Leon|Monterrey,"25.35786413008344,-100.56425311370224",305.1,204682.44
Apartamento,Mexico|Veracruz|Coatzacoalcos,"18.875043194383732,-96.6902796375128",402.7,"$174,512.33"
HOUSE,Mexico|Distrito Federal|Iztapalapa,"19.605826607779502,-98.59748258584555",183.9,158687.22
house,Mexico|Baja California|Rosarito,"30.17419350415885,-114.86955472156812",,453488.36
Terreno,Mexico|Chihuahua|Delicias,"27.897171379287602,-106.84506261706102",,117215.63
House,Mexico|Nuevo Leon,"24.841765981145397,-99.93170869556052",-409.1,311956.49
